,asin,brand,title,url,rating,totalReviews,price,Review_URL,Price (Euros)
159,B06Y2GX8K8,Sony,"Sony Xperia XZ Premium - Unlocked Smartphone - 5.5"", 64GB - Dual SIM - Pink (US Warranty)",https://www.amazon.com/Sony-Xperia-XZ-Premium-Smartphone/dp/B06Y2GX8K8,4.0,169.0,495.0,http://www.amazon.com/reviews/B06Y2GX8K8,480.15
160,B06Y3HCFZT,Samsung,"Samsung Galaxy S8+, 6.2"" 64GB (Verizon Wireless) - Midnight Black",https://www.amazon.com/Samsung-Galaxy-64GB-Verizon-Wireless/dp/B06Y3HCFZT,4.1,54.0,729.99,http://www.amazon.com/reviews/B06Y3HCFZT,708.09
162,B0711S4T9J,Huawei,"Huawei E8372h-608 Unlocked 150 Mbps 4G LTE WiFi USB Wingle (4G LTE in USA (AT&T only), Europe, Asia, Middle East and Africa) (White, Telenor Logo)",https://www.amazon.com/Huawei-E8372h-608-Unlocked-Wingle-Telenor/dp/B0711S4T9J,3.2,42.0,64.9,http://www.amazon.com/reviews/B0711S4T9J,62.95
163,B0714DBSNH,Motorola,Verizon Motorola Moto E4 Plus Carrier Locked Prepaid Phone,https://www.amazon.com/Verizon-Motorola-Carrier-Locked-Prepaid/dp/B0714DBSNH,3.8,28.0,129.99,http://www.amazon.com/reviews/B0714DBSNH,126.09
164,B071DQ128D,Samsung,Samsung Galaxy S8 Plus (S8+) (SM-G955FD) 4GB RAM / 64GB ROM 6.2-Inch 12MP 4G LTE Dual SIM FACTORY UNLOCKED - International Stock No Warranty (MAPLE GOLD),https://www.amazon.com/Samsung-SM-G955FD-6-2-Inch-FACTORY-UNLOCKED/dp/B071DQ128D,4.1,112.0,449.99,http://www.amazon.com/reviews/B071DQ128D,436.49
165,B071H9KKKF,Samsung,Samsung Galaxy S8 Plus (S8+) (SM-G955FD) 4GB RAM / 64GB ROM 6.2-Inch 12MP 4G LTE Dual SIM FACTORY UNLOCKED - International Stock No Warranty (MIDNIGHT BLACK),https://www.amazon.com/Samsung-SM-G955FD-6-2-Inch-FACTORY-UNLOCKED/dp/B071H9KKKF,4.0,480.0,450.11,http://www.amazon.com/reviews/B071H9KKKF,436.61
166,B071JP8XDJ,Sony,Sony Xperia XA1 Ultra G3223 32GB Unlocked GSM LTE Octa-Core Phone w/ 23MP - Gold,https://www.amazon.com/Sony-Xperia-Ultra-Factory-Unlocked/dp/B071JP8XDJ,3.6,313.0,299.0,http://www.amazon.com/reviews/B071JP8XDJ,290.03
167,B071JPQYGK,Apple,"Apple iPhone 7 Plus, AT&T Locked, 128GB - Jet Black (Renewed)",https://www.amazon.com/Apple-iPhone-Plus-128GB-Refurbished/dp/B071JPQYGK,3.5,12.0,284.99,http://www.amazon.com/reviews/B071JPQYGK,276.44
169,B071VGLCRX,Samsung,Samsung Galaxy S6 (SM-G920V) - 32GB Verizon + GSM Smartphone - Black Sapphire (Renewed),https://www.amazon.com/Samsung-Galaxy-SM-G920V-Smartphone-Refurbished/dp/B071VGLCRX,3.7,173.0,139.99,http://www.amazon.com/reviews/B071VGLCRX,135.79
170,B071VTYHDQ,Motorola,Verizon Motorola Moto E4 Prepaid Phone - Carrier Locked to Verizon Prepaid,https://www.amazon.com/Verizon-Motorola-Carrier-Locked-Prepaid/dp/B071VTYHDQ,4.1,47.0,69.93,http://www.amazon.com/reviews/B071VTYHDQ,67.83
171,B071W9WQ8M,Apple,"Apple iPhone 6S, 32GB, Gold - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-GSM-Unlocked-32GB/dp/B071W9WQ8M,3.8,48.0,151.99,http://www.amazon.com/reviews/B071W9WQ8M,147.43
172,B071XBH5PL,Samsung,Samsung Galaxy S8 Plus 64GB Orchid Gray AT&T,https://www.amazon.com/SAMSUNG-GALAXY-PLUS-64GB-ORCHID/dp/B071XBH5PL,3.5,4.0,409.97,http://www.amazon.com/reviews/B071XBH5PL,397.67
173,B071ZDQ6MV,Nokia,Nokia 6 - 32 GB - Dual Sim Unlocked Smartphone (AT&T/T-Mobile/Metropcs/Cricket/Mint) - Update To Android 9.0 PIE - 5.FHD Screen - Blue - U.S. Warranty,https://www.amazon.com/Nokia-Unlocked-Smartphone-T-Mobile-MetroPCS/dp/B071ZDQ6MV,3.7,558.0,109.0,http://www.amazon.com/reviews/B071ZDQ6MV,105.73
175,B0722NN2RG,Samsung,Samsung Galaxy S7 G930A 32GB Black Onyx - Unlocked GSM,https://www.amazon.com/Samsung-Galaxy-G930A-32GB-Black/dp/B0722NN2RG,3.7,92.0,239.99,http://www.amazon.com/reviews/B0722NN2RG,232.79
176,B0723HG35R,Samsung,Samsung Galaxy Tab S2 8.0 inch - 32 GB Tablet (Black) SM-T713 WiFi - (Certified Refurbished),https://www.amazon.com/Samsung-Galaxy-Tab-8-0-inch/dp/B0723HG35R,3.8,3.0,189.95,http://www.amazon.com/reviews/B0723HG35R,184.25
177,B0723HG3FG,Samsung,"Samsung Galaxy J3 Prime SM-J327T 4G LTE 7.0 Nougat 5"" Smartphone (T-Mobile) - Black",https://www.amazon.com/Samsung-Galaxy-J3-Prime-Black/dp/B0723HG3FG,2.9,13.0,119.99,http://www.amazon.com/reviews/B0723HG3FG,116.39
